fips,total_pop_age_sex,median_age,sex_ratio_males,under_18_percent,over_18_percent,over_65_percent,county,state,total_hh,median_hh_income,mean_hh_income,total_families,median_family_income,mean_family_income,tot_pop_race_ethnicity,tot_white,tot_black_af_am,tot_aminalnat,tot_asian,tot_hawopi,total_pop_poverty,pop_below_poverty,percent_below_poverty,smoking_ban_2010,asian_2019,avg_family_size_2019,black_2019,hispanic_2019,household_has_broadband_2019,household_has_computer_2019,household_has_smartphone_2019,households_2019,households_speak_limited_english_2019,housing_mobile_homes_2019,hs_grad_2019,median_household_income_2019,median_individual_income_2019,native_2019,other_single_race_2019,pac_isl_2019,persons_per_household_2019,pop_2019,unemployment_rate_2019,uninsured_2019,veterans_2019,white_2019,white_not_hispanic_2019,rural_urban_continuum_code_2013,Metro2013,retirement_destination_2015_update,metro_adjacent_2013,average_2011_upper_bound_pct_obesity,FIPS,heart_disease_prev_100K
48387,12171.0,45.9,89.8,20.1,79.9,24.4,Red River County, Texas,4963.0,39142.0,52213.0,3284.0,52079.0,62941.0,12171.0,9642.0,2039.0,60.0,10.0,0.0,11969.0,2352.0,19.7,none,0.1,3.02,16.8,7.3,64.1,58.0,60.2,4963.0,0.6,23.4,85.4,39142.0,22731.0,0.5,1.1,0.0,2.41,12171.0,6.6,14.4,5.5,79.2,73.4,6.0,0.0,0.0,1.0,48.74,48387,79.40321193615551
48389,15492.0,35.8,129.6,22.2,77.8,12.7,Reeves County, Texas,3518.0,53311.0,65457.0,2555.0,62149.0,72999.0,15492.0,12014.0,446.0,8.0,204.0,21.0,13512.0,2033.0,15.0,none,1.3,4.68,2.9,74.7,61.8,59.3,72.7,3518.0,10.5,27.5,69.7,53311.0,22515.0,0.1,17.3,0.1,3.87,15492.0,8.1,20.4,5.9,77.5,22.3,7.0,0.0,0.0,0.0,50.89,48389,59.29327949828918
48391,7145.0,43.3,92.8,23.2,76.8,21.6,Refugio County, Texas,2547.0,50076.0,61935.0,1741.0,61142.0,68245.0,7145.0,5766.0,480.0,20.0,21.0,0.0,6969.0,1148.0,16.5,none,0.3,3.42,6.7,50.4,69.9,56.3,75.9,2547.0,2.4,27.2,80.3,50076.0,22952.0,0.3,7.8,0.0,2.74,7145.0,7.4,15.9,9.0,80.7,41.6,6.0,0.0,0.0,1.0,45.97,48391,65.69942355021661
48393,805.0,43.2,92.6,27.0,73.0,25.6,Roberts County, Texas,301.0,68750.0,81712.0,234.0,73750.0,84819.0,805.0,782.0,0.0,0.0,0.0,0.0,791.0,93.0,11.8,partial,0.0,2.94,0.0,13.3,81.4,85.0,85.7,301.0,0.0,20.3,92.7,68750.0,30806.0,0.0,0.0,0.0,2.67,805.0,0.0,10.6,7.7,97.1,83.9,9.0,0.0,0.0,0.0,40.54,48393,63.60952499248685
48395,16990.0,41.5,95.9,23.8,76.2,19.0,Robertson County, Texas,6444.0,52928.0,67904.0,4573.0,63468.0,76965.0,16990.0,12988.0,3474.0,77.0,31.0,18.0,16786.0,2356.0,14.0,none,0.2,3.13,20.4,21.0,73.7,62.9,76.0,6444.0,3.4,23.9,84.5,52928.0,24907.0,0.5,1.3,0.1,2.61,16990.0,6.8,13.3,6.2,76.4,57.2,3.0,1.0,0.0,0.0,47.595,48395,68.24268217452625
48397,97175.0,37.5,97.6,27.2,72.8,12.1,Rockwall County, Texas,33032.0,100920.0,122912.0,26595.0,112753.0,133299.0,97175.0,82587.0,6148.0,402.0,2642.0,48.0,96447.0,4579.0,4.7,none,2.7,3.29,6.3,17.6,93.1,91.4,90.9,33032.0,1.6,18.2,92.7,100920.0,46518.0,0.4,2.4,0.0,2.92,97175.0,3.4,11.5,8.2,85.0,70.8,1.0,1.0,1.0,0.0,38.985,48397,63.09295702162553
48399,10277.0,40.8,100.8,23.3,76.7,20.6,Runnels County, Texas,3896.0,44940.0,61133.0,2691.0,55034.0,71393.0,10277.0,9510.0,309.0,16.0,11.0,0.0,9936.0,1518.0,15.3,none,0.1,3.08,3.0,34.2,72.1,62.6,70.1,3896.0,0.9,28.9,79.2,44940.0,24755.0,0.2,3.0,0.0,2.58,10277.0,2.1,13.6,8.1,92.5,61.5,6.0,0.0,0.0,1.0,45.36,48399,62.07247879832751
48401,53755.0,38.2,113.8,22.6,77.4,16.4,Rusk County, Texas,18108.0,55234.0,72751.0,13070.0,64068.0,82990.0,53755.0,41975.0,9075.0,90.0,279.0,30.0,48705.0,5769.0,11.8,none,0.5,3.18,16.9,16.8,62.5,64.1,73.6,18108.0,2.6,22.2,80.6,55234.0,26176.0,0.2,1.7,0.1,2.7,53755.0,6.6,18.4,7.7,78.1,63.7,3.0,1.0,0.0,0.0,47.24,48401,66.96285179848657
48403,10471.0,53.0,91.8,18.7,81.3,30.5,Sabine County, Texas,4311.0,34992.0,57482.0,2940.0,50185.0,69252.0,10471.0,9348.0,591.0,71.0,10.0,30.0,10326.0,2076.0,20.1,none,0.1,2.95,5.6,4.6,74.8,70.5,64.7,4311.0,0.3,11.8,84.7,34992.0,20582.0,0.7,0.8,0.3,2.41,10471.0,8.8,12.5,14.0,89.3,85.5,8.0,0.0,0.0,1.0,47.175,48403,72.23837294198302
48405,8286.0,49.3,91.9,19.8,80.2,26.4,San Augustine County, Texas,3451.0,40353.0,55320.0,2486.0,47250.0,63339.0,8286.0,6111.0,1768.0,132.0,14.0,0.0,8044.0,1995.0,24.8,none,0.2,2.76,21.3,7.2,66.9,57.2,69.6,3451.0,1.9,22.5,82.3,40353.0,21445.0,1.6,0.9,0.0,2.33,8286.0,7.4,14.8,11.3,73.8,69.1,9.0,0.0,0.0,0.0,49.505,48405,66.49674614497226
