"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"0500000US48257","Kaufman County, Texas","123804","*****","100717","844","14662","270","447","188","1590","105","78","69","3219","684","3091","469","794","291","2297","382"
"0500000US48259","Kendall County, Texas","43769","*****","39336","786","253","160","213","141","392","136","55","53","1636","720","1884","473","138","147","1746","474"
"0500000US48261","Kenedy County, Texas","568","224","567","224","0","14","0","14","0","14","0","14","1","3","0","14","0","14","0","14"
"0500000US48263","Kent County, Texas","647","102","592","108","6","6","13","14","0","14","0","14","33","32","3","4","0","14","3","4"
"0500000US48265","Kerr County, Texas","51843","*****","45818","832","765","142","316","165","431","168","41","45","3185","820","1287","413","204","148","1083","376"
"0500000US48267","Kimble County, Texas","4373","*****","4027","117","48","54","11","16","0","14","0","14","161","86","126","76","68","54","58","43"
"0500000US48269","King County, Texas","237","91","234","91","0","14","0","14","0","14","0","14","3","3","0","14","0","14","0","14"
"0500000US48271","Kinney County, Texas","3659","*****","3521","158","5","8","1","4","0","14","0","14","131","158","1","3","1","3","0","14"
"0500000US48273","Kleberg County, Texas","30974","*****","27421","395","1018","221","68","54","695","73","0","29","1076","331","696","237","96","63","600","238"
"0500000US48275","Knox County, Texas","3705","*****","3142","121","206","64","9","13","40","51","0","14","213","113","95","62","33","31","62","52"
"0500000US48277","Lamar County, Texas","49611","*****","40350","143","6358","268","283","87","384","96","71","68","250","119","1915","296","85","65","1830","295"
"0500000US48279","Lamb County, Texas","13123","*****","11819","185","515","146","50","26","73","55","0","21","320","128","346","116","62","49","284","100"
"0500000US48281","Lampasas County, Texas","20862","*****","18212","285","961","243","132","69","240","65","98","63","434","183","785","262","218","123","567","250"
"0500000US48283","La Salle County, Texas","7416","224","6454","597","108","93","0","19","12","21","0","19","566","519","276","170","109","155","167","110"
"0500000US48285","Lavaca County, Texas","20021","*****","15747","278","1281","107","45","55","94","30","5","10","2266","287","583","178","335","128","248","158"
"0500000US48287","Lee County, Texas","17058","*****","13945","466","1917","225","0","21","182","205","0","21","846","467","168","101","78","80","90","56"
"0500000US48289","Leon County, Texas","17225","*****","15331","194","1173","106","107","56","138","4","55","83","269","192","152","81","11","16","141","78"
"0500000US48291","Liberty County, Texas","83702","*****","67404","1267","8273","183","496","155","439","133","13","13","6215","1218","862","253","54","55","808","245"
"0500000US48293","Limestone County, Texas","23417","*****","18013","271","4037","161","399","257","177","10","67","81","458","197","266","144","48","55","218","128"
"0500000US48295","Lipscomb County, Texas","3398","*****","2779","164","18","14","65","37","66","67","0","14","336","135","134","40","12","12","122","38"
"0500000US48297","Live Oak County, Texas","12139","*****","11326","254","279","65","34","32","173","189","0","21","193","93","134","90","90","41","44","78"
"0500000US48299","Llano County, Texas","21047","*****","19456","262","143","153","306","277","65","59","0","25","484","201","593","270","125","98","468","256"
"0500000US48301","Loving County, Texas","98","48","95","48","0","14","3","5","0","14","0","14","0","14","0","14","0","14","0","14"
"0500000US48303","Lubbock County, Texas","304808","*****","250230","1657","21279","710","3123","605","6728","451","318","193","14402","1428","8728","957","1763","421","6965","830"
"0500000US48305","Lynn County, Texas","5830","*****","5199","130","65","44","16","18","46","59","6","10","223","89","275","124","152","84","123","81"
"0500000US48307","McCulloch County, Texas","8057","*****","6668","402","87","74","26","34","60","60","0","19","807","398","409","120","51","51","358","120"
"0500000US48309","McLennan County, Texas","251089","*****","196885","1209","36746","493","1089","376","4053","260","133","111","6552","978","5631","675","1030","273","4601","622"
"0500000US48311","McMullen County, Texas","774","171","765","170","0","14","9","14","0","14","0","14","0","14","0","14","0","14","0","14"
"0500000US48313","Madison County, Texas","14197","*****","10357","271","2332","305","26","29","477","311","10","18","631","295","364","195","39","34","325","198"
"0500000US48315","Marion County, Texas","10017","*****","7292","102","2294","115","11","17","32","49","41","51","209","102","138","90","11","18","127","86"
"0500000US48317","Martin County, Texas","5649","*****","4479","386","48","51","115","139","4","6","8","14","955","353","40","66","40","66","0","19"
"0500000US48319","Mason County, Texas","4186","*****","3705","154","2","3","84","85","101","76","0","14","50","40","244","180","18","30","226","179"
"0500000US48321","Matagorda County, Texas","36774","*****","25145","1011","3813","233","141","157","710","11","120","110","6181","1029","664","285","234","161","430","269"
"0500000US48323","Maverick County, Texas","58174","*****","54104","862","280","152","805","276","318","264","24","32","2210","817","433","191","335","169","98","93"
"0500000US48325","Medina County, Texas","50057","*****","45440","626","1331","178","278","220","359","80","21","36","1634","534","994","273","345","192","649","195"
"0500000US48327","Menard County, Texas","2119","*****","1710","160","1","2","3","6","0","14","0","14","218","140","187","112","46","60","141","92"
"0500000US48329","Midland County, Texas","168167","*****","138180","1694","11200","575","968","416","3356","311","79","59","10213","1693","4171","741","1132","455","3039","599"
"0500000US48331","Milam County, Texas","24770","*****","21121","334","2582","204","73","50","142","92","0","25","385","202","467","245","9","9","458","244"
"0500000US48333","Mills County, Texas","4889","*****","4804","60","19","27","9","17","11","18","0","14","45","49","1","2","1","2","0","14"
"0500000US48335","Mitchell County, Texas","8523","*****","6824","240","840","179","181","148","37","49","0","19","452","212","189","95","59","31","130","86"
"0500000US48337","Montague County, Texas","19489","*****","18607","153","131","70","159","88","0","21","0","21","231","148","361","128","11","15","350","122"
"0500000US48339","Montgomery County, Texas","571949","*****","494422","2510","28396","959","2180","574","16868","564","243","163","14577","2292","15263","1517","2578","555","12685","1362"
"0500000US48341","Moore County, Texas","21399","*****","16420","756","803","137","110","76","1463","42","0","25","2066","688","537","200","236","161","301","141"
"0500000US48343","Morris County, Texas","12373","*****","8570","202","2882","126","38","45","20","28","8","12","517","192","338","129","66","79","272","109"
"0500000US48345","Motley County, Texas","1252","135","1096","114","19","36","0","14","0","14","0","14","98","85","39","29","6","9","33","27"
"0500000US48347","Nacogdoches County, Texas","65339","*****","49935","528","11583","473","689","334","1055","201","14","21","804","311","1259","351","47","38","1212","352"
"0500000US48349","Navarro County, Texas","48995","*****","36379","783","5985","301","924","537","333","67","761","167","3210","754","1403","330","138","92","1265","332"
"0500000US48351","Newton County, Texas","13914","*****","10517","104","2823","61","46","43","77","48","0","21","39","54","412","135","176","95","236","72"
"0500000US48353","Nolan County, Texas","14904","*****","13090","216","888","141","73","58","43","53","0","21","643","202","167","109","47","41","120","97"
"0500000US48355","Nueces County, Texas","361540","*****","325660","1262","13542","344","1737","386","7501","293","213","105","6902","922","5985","910","1990","516","3995","644"
"0500000US48357","Ochiltree County, Texas","10131","*****","8884","381","82","121","92","63","26","40","0","21","739","384","308","119","72","93","236","79"
